セクション,セクション_ja,項目,項目_ja,2025年モデル 増程 Max版 52kWh 6人乗り,2025年モデル 増程 Ultra版 52kWh 6人乗り,2025年モデル 純電 Max版 100kWh 6人乗り,2025年モデル 純電 Ultra版 100kWh 6人乗り,2025年モデル 増程 Max版 52kWh 5人乗り,2025年モデル 増程 Ultra版 52kWh 5人乗り,2025年モデル 純電 Ultra版 100kWh 5人乗り,2025年モデル 増程 Ultra版 52kWh 4人乗り,2025年モデル 純電 Ultra版 100kWh 4人乗り
基本参数,基本仕様,准拖挂车总质量(kg),準牽引車総質量(kg),1500,1500,1500,1500,1500,1500,1500,1500,1500
车身,車体,长度(mm),全長(mm),5230,5230,5230,5230,5230,5230,5230,5230,5230
车身,車体,宽度(mm),全幅(mm),1999,1999,1999,1999,1999,1999,1999,1999,1999
车身,車体,高度(mm),全高(mm),1800,1800,1800,1800,1800,1800,1800,1800,1800
车身,車体,轴距(mm),ホイールベース(mm),3110,3110,3110,3110,3110,3110,3110,3110,3110
车身,車体,前轮距(mm),前トレッド(mm),1707,1707,1707,1707,1707,1707,1707,1707,1707
车身,車体,后轮距(mm),後トレッド(mm),1713,1713,1713,1713,1713,1713,1713,1713,1713
车身,車体,接近角(°),アプローチアングル(°),18,18,18,18,18,18,18,18,18
车身,車体,离去角(°),デパーチャーアングル(°),20,20,20,20,20,20,20,20,20
车身,車体,最小转弯半径(m),最小回転半径(m),5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 6,● 6,● 6,● 6,● 5,● 5,● 5,● 4,● 4
车身,車体,油箱容积(L),燃料タンク容量(L),65,65,-,-,65,65,-,65,-
车身,車体,后备厢容积(L),トランク容量(L),316-1252,316-1252,316-1252,316-1252,1043-2486,1043-2486,1043-2486,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),0.279,0.279,0.264,0.264,0.279,0.279,0.264,0.279,0.264
发动机,エンジン,发动机型号,エンジン型式,HG15T,HG15T,-,-,HG15T,HG15T,-,HG15T,-
发动机,エンジン,排量(mL),排気量(mL),1496,1496,-,-,1496,1496,-,1496,-
发动机,エンジン,排量(L),排気量(L),1.5,1.5,-,-,1.5,1.5,-,1.5,-
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,-,-,ターボチャージャー,ターボチャージャー,-,ターボチャージャー,-
发动机,エンジン,发动机布局,エンジン配置,横置,横置,-,-,横置,横置,-,横置,-
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,-,-,L,L,-,L,-
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,-,-,4,4,-,4,-
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,-,-,4,4,-,4,-
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,-,-,DOHC,DOHC,-,DOHC,-
发动机,エンジン,最大马力(Ps),最高出力(Ps),160,160,-,-,160,160,-,160,-
发动机,エンジン,最大功率(kW),最大出力(kW),118,118,-,-,118,118,-,118,-
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),-,-,-,-,-,-,-,-,-
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),-,-,-,-,-,-,-,-,-
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),-,-,-,-,-,-,-,-,-
发动机,エンジン,最大净功率(kW),最大正味出力(kW),115,115,-,-,115,115,-,115,-
发动机,エンジン,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,レンジエクステンダー式,レンジエクステンダー式,純電動,レンジエクステンダー式,純電動
发动机,エンジン,燃油标号,燃料オクタン価,95オクタン,95オクタン,-,-,95オクタン,95オクタン,-,95オクタン,-
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,-,-,直噴,直噴,-,直噴,-
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,-,-,アルミ合金,アルミ合金,-,アルミ合金,-
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,-,-,アルミ合金,アルミ合金,-,アルミ合金,-
发动机,エンジン,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,-,-,国VI排ガス基準,国VI排ガス基準,-,国VI排ガス基準,-
电动机,モーター,前电动机品牌,前モーターブランド,ファーウェイ技術,ファーウェイ技術,ファーウェイ技術,ファーウェイ技術,ファーウェイ技術,ファーウェイ技術,ファーウェイ技術,ファーウェイ技術,ファーウェイ技術
电动机,モーター,后电动机品牌,後モーターブランド,ファーウェイ技術,ファーウェイ技術,ファーウェイ技術,ファーウェイ技術,ファーウェイ技術,ファーウェイ技術,ファーウェイ技術,ファーウェイ技術,ファーウェイ技術
电动机,モーター,前电动机型号,前モーター型式,CYS210XY0P1,CYS210XY0P1,YS210XYA03,YS210XYA03,CYS210XY0P1,CYS210XY0P1,YS210XYA03,CYS210XY0P1,YS210XYA03
电动机,モーター,后电动机型号,後モーター型式,CTZ196XY0P4,CTZ196XY0P4,TZ210XYA03,TZ210XYA03,CTZ196XY0P4,CTZ196XY0P4,TZ210XYA03,CTZ196XY0P4,TZ210XYA03
电动机,モーター,电机类型,モーター種類,前交流/非同期 後永久磁石/同期,前交流/非同期 後永久磁石/同期,前交流/非同期 後永久磁石/同期,前交流/非同期 後永久磁石/同期,前交流/非同期 後永久磁石/同期,前交流/非同期 後永久磁石/同期,前交流/非同期 後永久磁石/同期,前交流/非同期 後永久磁石/同期,前交流/非同期 後永久磁石/同期
电动机,モーター,电动机总功率(kW),モーター総出力(kW),365,365,390,390,365,365,390,365,390
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),496,496,530,530,496,496,530,496,530
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),675,675,673,673,675,675,673,675,673
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),165,165,160,160,165,165,160,165,160
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),315,315,277,277,315,315,277,315,277
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),200,200,230,230,200,200,230,200,230
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),360,360,396,396,360,360,396,360,396
电动机,モーター,驱动电机数,駆動モーター数,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター
电动机,モーター,电机布局,モーター配置,前置＋後置,前置＋後置,前置＋後置,前置＋後置,前置＋後置,前置＋後置,前置＋後置,前置＋後置,前置＋後置
电动机,モーター,三电系统质保,三電システム保証,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● CATL（寧徳時代・江蘇時代）,● CATL（寧徳時代・江蘇時代）,● CATL（寧徳時代・江蘇時代）,● CATL（寧徳時代・江蘇時代）,● CATL（寧徳時代・江蘇時代）,● CATL（寧徳時代・江蘇時代）,● CATL（寧徳時代・江蘇時代）,● CATL（寧徳時代・江蘇時代）,● CATL（寧徳時代・江蘇時代）
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,バッテリー/充電,WLTC纯电续航里程(km),WLTC航続距離(km),235,226,-,-,235,226,-,226,-
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),290,266,630,605,290,266,605,266,605
电池/充电,バッテリー/充電,WLTC综合续航(km),WLTC総合航続距離(km),1308,1258,-,-,1308,1258,-,1258,-
电池/充电,バッテリー/充電,CLTC综合续航(km),CLTC総合航続距離(km),1474,1417,-,-,1474,1417,-,1417,-
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),52,52,100,100,52,52,100,52,100
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり消費電力(kWh/100km),23.3,24.9,17.4,18.1,23.3,24.9,18.1,24.9,18.1
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,高压快充,高圧急速充電,-,-,対応,対応,-,-,対応,-,対応
电池/充电,バッテリー/充電,高压平台（V）,高圧プラットフォーム（V）,-,-,800,800,-,-,800,-,800
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.5,0.5,0.25,0.25,0.5,0.5,0.25,0.5,0.25
电池/充电,バッテリー/充電,电池慢充时间(小时),バッテリー普通充電時間(時間),6,6,11.7,11.7,6,6,11.7,6,11.7
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電容量範囲(%),20-80,20-80,30-80,30-80,20-80,20-80,30-80,20-80,30-80
电池/充电,バッテリー/充電,电池慢充电量范围(%),バッテリー普通充電容量範囲(%),20-90,20-90,20-90,20-90,20-90,20-90,20-90,20-90,20-90
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),6,6,6,6,6,6,6,6,6
变速箱,トランスミッション,简称,略称,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,265/45 R21 265/40 R22（1.5万元）,265/45 R21 265/40 R22（1.5万元）,265/45 R21 265/40 R22（1.5万元）,265/45 R21 265/40 R22（1.5万元）,265/45 R21 265/40 R22（1.5万元）,265/45 R21 265/40 R22（1.5万元）,265/45 R21 265/40 R22（1.5万元）,265/45 R21 265/40 R22（1.5万元）,265/45 R21 265/40 R22（1.5万元）
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,285/45 R21 285/40 R22,285/45 R21 285/40 R22,285/45 R21 285/40 R22,285/45 R21 285/40 R22,285/45 R21 285/40 R22,285/45 R21 285/40 R22,285/45 R21 285/40 R22,285/45 R21 285/40 R22,285/45 R21 285/40 R22
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-,-,-,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ 経済 標準/快適 カスタム/パーソナライズ,● スポーツ 経済 標準/快適 カスタム/パーソナライズ,● スポーツ 経済 標準/快適 カスタム/パーソナライズ,● スポーツ 経済 標準/快適 カスタム/パーソナライズ,● スポーツ 経済 標準/快適 カスタム/パーソナライズ,● スポーツ 経済 標準/快適 カスタム/パーソナライズ,● スポーツ 経済 標準/快適 カスタム/パーソナライズ,● スポーツ 経済 標準/快適 カスタム/パーソナライズ,● スポーツ 経済 標準/快適 カスタム/パーソナライズ
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,● サスペンション硬さ調整 サスペンション高さ調整,● サスペンション硬さ調整 サスペンション高さ調整,● サスペンション硬さ調整 サスペンション高さ調整,● サスペンション硬さ調整 サスペンション高さ調整,● サスペンション硬さ調整 サスペンション高さ調整,● サスペンション硬さ調整 サスペンション高さ調整,● サスペンション硬さ調整 サスペンション高さ調整,● サスペンション硬さ調整 サスペンション高さ調整,● サスペンション硬さ調整 サスペンション高さ調整
驾驶操控,ドライビングコントロール,空气悬架,エアサスペンション,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,魔毯智能悬架,マジックカーペットインテリジェントサスペンション,●,●,●,●,●,●,●,●,●
四驱/越野,4WD/オフロード,拖挂钩,トレーラーフック,○ 電動（8000元）,○ 電動（8000元）,○ 電動（8000元）,○ 電動（8000元）,○ 電動（8000元）,○ 電動（8000元）,○ 電動（8000元）,○ 電動（8000元）,○ 電動（8000元）
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ台数,● 11個,● 11個,● 11個,● 11個,● 11個,● 11個,● 11個,● 11個,● 11個
驾驶硬件,運転ハードウェア,前方感知摄像头像素,前方検知カメラ画素数,● 800万画素,● 800万画素,● 800万画素,● 800万画素,● 800万画素,● 800万画素,● 800万画素,● 800万画素,● 800万画素
驾驶硬件,運転ハードウェア,环视摄像头像素,全周囲カメラ画素数,● 250万,● 250万,● 250万,● 250万,● 250万,● 250万,● 250万,● 250万,● 250万
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ台数,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー台数,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー台数,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個
驾驶硬件,運転ハードウェア,激光雷达品牌,LiDARブランド,● HUAWEI（ファーウェイ）,● HUAWEI（ファーウェイ）,● HUAWEI（ファーウェイ）,● HUAWEI（ファーウェイ）,● HUAWEI（ファーウェイ）,● HUAWEI（ファーウェイ）,● HUAWEI（ファーウェイ）,● HUAWEI（ファーウェイ）,● HUAWEI（ファーウェイ）
驾驶硬件,運転ハードウェア,激光雷达数量,LiDAR台数,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個
驾驶硬件,運転ハードウェア,激光雷达线数,レーザーレーダーライン数,● 192ライン,● 192ライン,● 192ライン,● 192ライン,● 192ライン,● 192ライン,● 192ライン,● 192ライン,● 192ライン
驾驶硬件,運転ハードウェア,激光雷达10%反射率探测距离,レーザーレーダー10%反射率検出距離,● 180m,● 180m,● 180m,● 180m,● 180m,● 180m,● 180m,● 180m,● 180m
驾驶硬件,運転ハードウェア,激光雷达点云数量,レーザーレーダーポイントクラウド数,● 184万/秒,● 184万/秒,● 184万/秒,● 184万/秒,● 184万/秒,● 184万/秒,● 184万/秒,● 184万/秒,● 184万/秒
