セクション,項目,问界M9 2025款 增程 Max版 52kWh 6座版,问界M9 2025款 增程 Ultra版 52kWh 6座版,问界M9 2025款 纯电 Max版 100kWh 6座版,问界M9 2025款 纯电 Ultra版 100kWh 6座版,问界M9 2025款 增程 Max版 52kWh 5座版,问界M9 2025款 增程 Ultra版 52kWh 5座版,问界M9 2025款 纯电 Ultra版 100kWh 5座版,问界M9 2025款 增程 Ultra版 52kWh 4座版,问界M9 2025款 纯电 Ultra版 100kWh 4座版
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 6,● 6,● 6,● 6,● 5,● 5,● 5,● 4,● 4
车身,油箱容积(L),65,65,-,-,65,65,-,65,-
车身,后备厢容积(L),316-1252,316-1252,316-1252,316-1252,1043-2486,1043-2486,1043-2486,-,-
车身,风阻系数(Cd),0.279,0.279,0.264,0.264,0.279,0.279,0.264,0.279,0.264
发动机,发动机型号,HG15T,HG15T,-,-,HG15T,HG15T,-,HG15T,-
发动机,排量(mL),1496,1496,-,-,1496,1496,-,1496,-
发动机,排量(L),1.5,1.5,-,-,1.5,1.5,-,1.5,-
发动机,进气形式,涡轮增压,涡轮增压,-,-,涡轮增压,涡轮增压,-,涡轮增压,-
发动机,发动机布局,横置,横置,-,-,横置,横置,-,横置,-
发动机,气缸排列形式,L,L,-,-,L,L,-,L,-
发动机,气缸数(个),4,4,-,-,4,4,-,4,-
发动机,每缸气门数(个),4,4,-,-,4,4,-,4,-
发动机,配气机构,DOHC,DOHC,-,-,DOHC,DOHC,-,DOHC,-
发动机,最大马力(Ps),160,160,-,-,160,160,-,160,-
发动机,最大功率(kW),118,118,-,-,118,118,-,118,-
发动机,最大功率转速(rpm),-,-,-,-,-,-,-,-,-
发动机,最大扭矩(N·m),-,-,-,-,-,-,-,-,-
发动机,最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-
发动机,最大净功率(kW),115,115,-,-,115,115,-,115,-
发动机,能源类型,增程式,增程式,纯电动,纯电动,增程式,增程式,纯电动,增程式,纯电动
发动机,燃油标号,95号,95号,-,-,95号,95号,-,95号,-
发动机,供油方式,直喷,直喷,-,-,直喷,直喷,-,直喷,-
发动机,缸盖材料,铝合金,铝合金,-,-,铝合金,铝合金,-,铝合金,-
发动机,缸体材料,铝合金,铝合金,-,-,铝合金,铝合金,-,铝合金,-
发动机,环保标准,国VI,国VI,-,-,国VI,国VI,-,国VI,-
电动机,前电动机品牌,华为技术,华为技术,华为技术,华为技术,华为技术,华为技术,华为技术,华为技术,华为技术
电动机,后电动机品牌,华为技术,华为技术,华为技术,华为技术,华为技术,华为技术,华为技术,华为技术,华为技术
电动机,前电动机型号,CYS210XY0P1,CYS210XY0P1,YS210XYA03,YS210XYA03,CYS210XY0P1,CYS210XY0P1,YS210XYA03,CYS210XY0P1,YS210XYA03
电动机,后电动机型号,CTZ196XY0P4,CTZ196XY0P4,TZ210XYA03,TZ210XYA03,CTZ196XY0P4,CTZ196XY0P4,TZ210XYA03,CTZ196XY0P4,TZ210XYA03
电动机,电机类型,前交流/异步 后永磁/同步,前交流/异步 后永磁/同步,前交流/异步 后永磁/同步,前交流/异步 后永磁/同步,前交流/异步 后永磁/同步,前交流/异步 后永磁/同步,前交流/异步 后永磁/同步,前交流/异步 后永磁/同步,前交流/异步 后永磁/同步
电动机,电动机总功率(kW),365,365,390,390,365,365,390,365,390
电动机,电动机总马力(Ps),496,496,530,530,496,496,530,496,530
电动机,电动机总扭矩(N·m),675,675,673,673,675,675,673,675,673
电动机,前电动机最大功率(kW),165,165,160,160,165,165,160,165,160
电动机,前电动机最大扭矩(N·m),315,315,277,277,315,315,277,315,277
电动机,后电动机最大功率(kW),200,200,230,230,200,200,230,200,230
电动机,后电动机最大扭矩(N·m),360,360,396,396,360,360,396,360,396
电动机,驱动电机数,双电机,双电机,双电机,双电机,双电机,双电机,双电机,双电机,双电机
电动机,电机布局,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置
电动机,三电系统质保,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里
电池/充电,电池类型,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池
电池/充电,电芯品牌,● 宁德时代(江苏时代),● 宁德时代(江苏时代),● 宁德时代(江苏时代),● 宁德时代(江苏时代),● 宁德时代(江苏时代),● 宁德时代(江苏时代),● 宁德时代(江苏时代),● 宁德时代(江苏时代),● 宁德时代(江苏时代)
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,WLTC纯电续航里程(km),235,226,-,-,235,226,-,226,-
电池/充电,CLTC纯电续航里程(km),290,266,630,605,290,266,605,266,605
电池/充电,WLTC综合续航(km),1308,1258,-,-,1308,1258,-,1258,-
电池/充电,CLTC综合续航(km),1474,1417,-,-,1474,1417,-,1417,-
电池/充电,电池能量(kWh),52,52,100,100,52,52,100,52,100
电池/充电,百公里耗电量(kWh/100km),23.3,24.9,17.4,18.1,23.3,24.9,18.1,24.9,18.1
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持
电池/充电,高压快充,-,-,支持,支持,-,-,支持,-,支持
电池/充电,高压平台（V）,-,-,800,800,-,-,800,-,800
电池/充电,电池快充时间(小时),0.5,0.5,0.25,0.25,0.5,0.5,0.25,0.5,0.25
电池/充电,电池慢充时间(小时),6,6,11.7,11.7,6,6,11.7,6,11.7
电池/充电,电池快充电量范围(%),20-80,20-80,30-80,30-80,20-80,20-80,30-80,20-80,30-80
电池/充电,电池慢充电量范围(%),20-90,20-90,20-90,20-90,20-90,20-90,20-90,20-90,20-90
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,对外交流放电功率(kW),6,6,6,6,6,6,6,6,6
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱
底盘转向,四驱形式,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,265/45 R21 265/40 R22 (1.50万元),265/45 R21 265/40 R22 (1.50万元),265/45 R21 265/40 R22 (1.50万元),265/45 R21 265/40 R22 (1.50万元),265/45 R21 265/40 R22 (1.50万元),265/45 R21 265/40 R22 (1.50万元),265/45 R21 265/40 R22 (1.50万元),265/45 R21 265/40 R22 (1.50万元),265/45 R21 265/40 R22 (1.50万元)
车轮制动,后轮胎规格,285/45 R21 285/40 R22,285/45 R21 285/40 R22,285/45 R21 285/40 R22,285/45 R21 285/40 R22,285/45 R21 285/40 R22,285/45 R21 285/40 R22,285/45 R21 285/40 R22,285/45 R21 285/40 R22,285/45 R21 285/40 R22
车轮制动,备胎规格,-,-,-,-,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
被动安全,前排中间气囊,●,●,●,●,●,●,●,●,●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●,●,●,●,●,●
主动安全,DOW开门预警,●,●,●,●,●,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●,●
主动安全,后方碰撞预警,●,●,●,●,●,●,●,●,●
主动安全,哨兵模式/千里眼,●,●,●,●,●,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●,●,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●,●,●,●
驾驶操控,可变悬架功能,● 悬架软硬调节 悬架高低调节,● 悬架软硬调节 悬架高低调节,● 悬架软硬调节 悬架高低调节,● 悬架软硬调节 悬架高低调节,● 悬架软硬调节 悬架高低调节,● 悬架软硬调节 悬架高低调节,● 悬架软硬调节 悬架高低调节,● 悬架软硬调节 悬架高低调节,● 悬架软硬调节 悬架高低调节
驾驶操控,空气悬架,●,●,●,●,●,●,●,●,●
驾驶操控,魔毯智能悬架,●,●,●,●,●,●,●,●,●
四驱/越野,拖挂钩,○ 电动 (8000元),○ 电动 (8000元),○ 电动 (8000元),○ 电动 (8000元),○ 电动 (8000元),○ 电动 (8000元),○ 电动 (8000元),○ 电动 (8000元),○ 电动 (8000元)
驾驶硬件,前/后驻车雷达,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●,●,●,●
驾驶硬件,前方感知摄像头,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目
驾驶硬件,摄像头数量,● 11个,● 11个,● 11个,● 11个,● 11个,● 11个,● 11个,● 11个,● 11个
驾驶硬件,前方感知摄像头像素,● 800万,● 800万,● 800万,● 800万,● 800万,● 800万,● 800万,● 800万,● 800万
驾驶硬件,环视摄像头像素,● 250万,● 250万,● 250万,● 250万,● 250万,● 250万,● 250万,● 250万,● 250万
驾驶硬件,车内摄像头数量,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个
驾驶硬件,激光雷达品牌,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为
驾驶硬件,激光雷达数量,● 4个,● 4个,● 4个,● 4个,● 4个,● 4个,● 4个,● 4个,● 4个
驾驶硬件,激光雷达线数,● 192线,● 192线,● 192线,● 192线,● 192线,● 192线,● 192线,● 192线,● 192线
驾驶硬件,激光雷达10%反射率探测距离,● 180米,● 180米,● 180米,● 180米,● 180米,● 180米,● 180米,● 180米,● 180米
驾驶硬件,激光雷达点云数量,● 184万/秒,● 184万/秒,● 184万/秒,● 184万/秒,● 184万/秒,● 184万/秒,● 184万/秒,● 184万/秒,● 184万/秒
驾驶硬件,前方最大探测距离,● 250米,● 250米,● 250米,● 250米,● 250米,● 250米,● 250米,● 250米,● 250米
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●,●,●,●,●,●
驾驶功能,车载卫星通信,●,●,●,●,●,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,高精定位,●,●,●,●,●,●,●,●,●
驾驶功能,并线辅助,●,●,●,●,●,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●,●,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●,●,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●,●,●,●,●,●
驾驶功能,辅助泊车入位,●,●,●,●,●,●,●,●,●
驾驶功能,遥控泊车,●,●,●,●,●,●,●,●,●
驾驶功能,记忆泊车,○,○,○,○,○,○,○,○,○
驾驶功能,循迹倒车,●,●,●,●,●,●,●,●,●
驾驶功能,辅助变道,●,●,●,●,●,●,●,●,●
驾驶功能,辅助匝道自动驶出(入),●,●,●,●,●,●,●,●,●
驾驶功能,信号灯识别,●,●,●,●,●,●,●,●,●
驾驶功能,远程召唤,○,○,○,○,○,○,○,○,○
驾驶功能,辅助驾驶路段,城市路段 高速路段,城市路段 高速路段,城市路段 高速路段,城市路段 高速路段,城市路段 高速路段,城市路段 高速路段,城市路段 高速路段,城市路段 高速路段,城市路段 高速路段
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动吸合车门,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
外观/防盗,自动开合车门,-,●,-,●,-,●,●,●,●
外观/防盗,电动后备厢,●,●,●,●,●,●,●,●,●
外观/防盗,感应后备厢,●,●,●,●,●,●,●,●,●
外观/防盗,电动后备厢位置记忆,●,●,●,●,●,●,●,●,●
外观/防盗,感应前备厢,-,-,●,●,-,-,●,-,●
外观/防盗,车顶行李架,●,●,●,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,-,-,●,●,-,●,-
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙 UWB数字钥匙 智能手表/手环钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙 UWB数字钥匙 智能手表/手环钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙 UWB数字钥匙 智能手表/手环钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙 UWB数字钥匙 智能手表/手环钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙 UWB数字钥匙 智能手表/手环钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙 UWB数字钥匙 智能手表/手环钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙 UWB数字钥匙 智能手表/手环钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙 UWB数字钥匙 智能手表/手环钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙 UWB数字钥匙 智能手表/手环钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
外观/防盗,隐藏电动门把手,●,●,●,●,●,●,●,●,●
外观/防盗,主动闭合式进气格栅,●,●,●,●,●,●,●,●,●
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●,●
外观/防盗,车侧脚踏板,○ 电动 (10000元),○ 电动 (10000元),○ 电动 (10000元),○ 电动 (10000元),○ 电动 (10000元),○ 电动 (10000元),○ 电动 (10000元),● 电动,● 电动
外观/防盗,对外放电,●,●,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,灯光特色功能,● 矩阵式,● 矩阵式 像素式,● 矩阵式,● 矩阵式 像素式,● 矩阵式,● 矩阵式 像素式,● 矩阵式 像素式,● 矩阵式 像素式,● 矩阵式 像素式
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●
车外灯光,转向头灯,●,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●
车外灯光,场景灯语,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排
天窗/玻璃,后排侧窗遮阳帘,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动
天窗/玻璃,后排侧隐私玻璃,●,●,●,●,●,●,●,●,●
天窗/玻璃,后排调光隐私玻璃,-,○ (2.00万元),-,○ (2.00万元),-,○ (2.00万元),○ (2.00万元),●,●
天窗/玻璃,车内化妆镜,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯
天窗/玻璃,后雨刷,●,●,●,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
